id,interior_design_concept,location_zip_code,startup_budget,business_profit_rate,average_review_ratings
123,romantic,95131,33171.43,7.8,0.82
124,modern,95104,48751.25,65.16,4.23
125,modern,95104,42815.79,25.72,1.17
126,industrial,95119,42221.96,2.8,3.67
127,romantic,95117,45578.33,9.63,3.22
128,industrial,95104,49539.78,15.49,0.79
129,romantic,95138,37976.18,64.36,3.66
130,modern,95118,62016.19,27.43,0.36
131,industrial,95109,69506.16,87.75,1.77
132,minimalist,95129,62835.32,90.1,2.34
133,modern,95127,33866.24,82.91,3.65
134,industrial,95139,48767.93,47.19,4.39
135,vintage,95123,44954.97,52.23,2.13
136,art gallery,95102,68527.77,33.38,2.51
137,art gallery,95121,57552.61,96.84,1.27
138,romantic,95131,69079.08,63.56,3.75
139,art gallery,95107,73713.83,20.82,3.13
140,romantic,95108,51242.94,58.76,0.32
141,modern,95136,51298.28,78.97,2.93
142,minimalist,95135,50610.29,76.19,2.71
143,vintage,95128,66002.05,1.55,4.58
144,romantic,95110,49935.05,46.55,3.39
145,art gallery,95123,49529.94,29.8,4.64
146,industrial,95111,78817.97,19.42,2.87
147,industrial,95108,59065.78,41.43,3.02
148,art gallery,95128,36861.52,69.61,0.81
149,modern,95134,35407.11,0.99,3.27
150,vintage,95116,73325.88,95.48,1.96
151,industrial,95103,49607.93,1.25,2.29
152,art gallery,95140,31132.67,51.17,0.04
153,romantic,95121,38911.44,51.4,2.36
154,art gallery,95128,48623.6,1.27,1.84
155,minimalist,95117,46610.49,55.86,4.03
156,minimalist,95133,48438.59,26.55,1.55
157,vintage,95126,35616.05,55.65,3.07
158,vintage,95107,71504.11,25.46,4.12
159,minimalist,95111,71510.63,92.66,2.31
160,industrial,95119,59715.69,93.64,1.01
161,modern,95122,60423.68,63.52,4.24
162,vintage,95102,59897.32,94.71,0.46
163,industrial,95129,64720.83,30.01,3.26
164,art gallery,95112,78152.64,63.07,0.51
165,vintage,95116,38087.55,69.24,4.99
166,minimalist,95136,42200.48,26.01,4.11
167,romantic,95101,66774.96,20.25,3.15
168,industrial,95107,45171.22,90.94,0.47
169,art gallery,95106,31824.74,91.89,2.76
170,modern,95103,55907.11,45.0,1.69
171,industrial,95140,30239.55,80.25,1.38
172,vintage,95133,33939.91,49.26,0.62
173,art gallery,95103,41940.13,73.8,4.48
174,industrial,95125,58115.18,77.97,4.49
175,romantic,95134,43314.66,47.62,4.31
176,modern,95134,57750.54,98.11,2.07
177,industrial,95103,30366.36,63.38,0.9
178,art gallery,95126,74086.66,31.0,4.66
179,vintage,95127,38613.12,80.31,4.1
180,art gallery,95135,72925.65,22.2,1.69
181,minimalist,95106,41455.66,59.4,3.97
182,romantic,95116,45996.15,89.08,1.62
183,vintage,95126,51609.93,22.44,4.78
184,vintage,95123,72309.62,77.65,1.81
185,industrial,95121,44727.64,46.93,3.56
186,industrial,95112,39852.8,50.77,2.93
187,industrial,95118,71757.11,51.93,4.32
188,minimalist,95121,74382.84,41.36,0.42
189,romantic,95134,71665.04,58.01,4.06
190,modern,95124,53078.56,54.56,4.14
191,vintage,95132,68112.5,47.36,0.47
192,romantic,95108,41518.47,20.71,1.05
193,romantic,95101,74415.82,49.92,1.61
194,vintage,95113,62158.07,17.26,0.3
195,vintage,95127,51513.69,71.26,2.41
196,romantic,95109,75793.53,28.51,0.42
197,art gallery,95120,48423.73,2.13,3.71
198,industrial,95102,47805.47,19.8,4.58
199,modern,95131,70533.33,24.31,1.16
200,art gallery,95139,31185.81,17.61,1.92
201,art gallery,95107,35415.87,45.89,4.3
202,romantic,95126,61240.38,41.5,2.08
203,minimalist,95148,72327.96,67.68,4.05
204,industrial,95106,67642.8,49.3,4.15
205,minimalist,95139,67458.92,95.87,0.73
206,modern,95110,33873.94,2.9,2.22
207,modern,95110,41935.75,80.15,1.62
208,industrial,95106,71713.48,36.06,1.71
209,art gallery,95133,64513.67,2.59,3.21
210,romantic,95132,59411.75,48.02,0.82
211,minimalist,95134,42553.4,73.05,2.5
212,art gallery,95118,48343.53,40.25,3.09
213,art gallery,95128,75612.98,82.11,4.38
214,vintage,95126,69253.61,7.29,0.3
215,modern,95117,42085.49,2.17,3.77
216,industrial,95131,46302.63,49.03,0.49
217,vintage,95135,62450.91,41.11,3.9
218,industrial,95104,74909.79,96.17,0.51
219,vintage,95104,68630.71,7.4,2.63
220,minimalist,95117,34215.67,30.13,3.1
221,minimalist,95112,66532.64,12.91,1.69
222,romantic,95105,68925.64,3.77,4.84
223,industrial,95134,77693.56,62.15,3.33
224,minimalist,95126,39318.78,43.66,0.72
225,romantic,95134,58354.38,97.21,2.75
226,art gallery,95110,46898.12,12.51,4.77
227,modern,95148,73470.13,22.1,1.98
228,romantic,95122,60845.37,34.3,3.16
229,art gallery,95136,71837.22,86.88,3.55
230,romantic,95123,63437.46,50.56,0.55
231,art gallery,95107,61958.63,6.85,0.21
232,vintage,95129,72385.5,94.26,2.75
233,minimalist,95119,49153.22,14.62,4.12
234,vintage,95106,40656.74,65.82,0.65
235,industrial,95117,71955.88,63.58,3.64
236,romantic,95123,78239.44,81.23,0.91
237,modern,95102,31273.61,97.22,2.77
238,vintage,95103,54890.77,21.2,3.83
239,romantic,95109,53879.81,91.13,2.44
240,vintage,95123,35935.41,39.91,2.37
241,romantic,95113,70916.02,35.15,0.11
242,vintage,95122,47001.94,91.1,4.88
243,romantic,95132,56985.93,62.35,2.2
244,vintage,95131,74910.99,38.33,3.56
245,romantic,95111,34122.4,77.88,0.18
246,minimalist,95128,38122.55,69.39,0.82
247,minimalist,95116,43172.87,58.83,0.26
248,romantic,95129,73782.93,58.89,1.26
249,romantic,95102,54152.99,76.2,0.83
250,minimalist,95132,42368.33,30.68,2.88
251,modern,95103,74195.91,11.52,2.45
252,vintage,95107,58527.82,64.59,2.1
253,romantic,95136,65854.26,77.41,3.88
254,modern,95126,53417.09,41.24,4.49
255,minimalist,95102,62851.64,73.53,0.35
256,industrial,95129,64041.85,58.79,2.32
257,art gallery,95120,34815.83,37.27,0.62
258,minimalist,95104,69757.9,59.78,1.26
259,romantic,95102,75926.24,97.7,1.44
260,modern,95123,79527.92,36.33,0.51
261,romantic,95136,79071.11,12.95,1.93
262,minimalist,95136,30653.09,8.37,1.39
263,minimalist,95120,68760.59,49.42,2.07
264,industrial,95125,74840.79,16.32,2.97
265,modern,95132,46500.88,8.84,3.49
266,modern,95129,58066.52,36.8,1.66
267,minimalist,95113,58137.25,35.32,1.72
268,romantic,95122,41432.26,82.87,2.23
269,art gallery,95134,40448.26,24.57,1.28
270,romantic,95109,41922.96,42.61,3.37
271,romantic,95106,68676.32,31.71,1.79
272,minimalist,95124,65437.23,14.81,4.72
273,vintage,95140,54774.31,92.87,4.14
274,minimalist,95113,60244.88,77.29,3.16
275,minimalist,95118,60955.29,28.03,1.96
276,romantic,95117,67307.39,61.92,3.25
277,industrial,95106,46771.06,93.07,2.43
278,romantic,95106,42476.14,87.05,1.51
279,minimalist,95119,68835.81,89.28,1.96
280,modern,95120,66482.88,46.05,0.52
281,art gallery,95133,55499.54,21.06,4.69
282,industrial,95138,70658.43,58.3,4.6
283,modern,95123,61411.21,99.61,3.07
284,romantic,95126,74342.22,82.0,0.86
285,romantic,95110,30050.7,24.54,2.07
286,minimalist,95134,51699.49,21.06,1.15
287,modern,95103,79499.35,84.78,1.34
288,industrial,95119,59819.4,56.65,4.76
289,modern,95120,69704.93,33.89,3.35
290,industrial,95113,62435.78,62.37,2.14
291,minimalist,95108,36897.5,72.75,3.85
292,minimalist,95105,75928.05,10.4,1.35
293,vintage,95105,35128.71,60.98,4.69
294,industrial,95109,31390.15,25.3,2.9
295,minimalist,95105,49113.0,4.08,3.36
296,industrial,95118,61365.92,75.06,0.19
297,minimalist,95122,66029.28,3.89,4.68
298,industrial,95116,73738.35,52.1,4.14
299,romantic,95139,47995.55,55.33,4.19
300,vintage,95113,53961.13,31.71,4.45
301,art gallery,95133,51908.08,31.94,3.02
302,art gallery,95138,56102.6,52.09,0.28
303,art gallery,95126,58683.76,55.64,4.21
304,minimalist,95109,67846.04,23.62,1.74
305,minimalist,95103,66275.37,66.86,2.66
306,art gallery,95113,77605.94,49.47,3.82
307,minimalist,95122,62606.31,79.1,3.06
308,minimalist,95135,71375.43,89.75,4.81
309,modern,95135,53064.98,65.33,3.18
310,vintage,95122,39986.98,68.15,0.12
311,romantic,95103,34102.99,6.0,2.05
312,industrial,95118,61367.97,15.64,4.07
313,vintage,95132,68659.65,8.91,3.4
314,romantic,95109,32149.83,49.62,2.14
315,romantic,95136,73958.75,82.9,0.61
316,minimalist,95110,34207.92,20.43,2.73
317,romantic,95108,58137.27,79.06,1.63
318,minimalist,95104,70441.27,85.95,1.09
319,art gallery,95121,56519.78,13.94,1.92
320,vintage,95135,64149.92,84.42,0.13
321,art gallery,95113,70066.79,22.59,4.93
322,minimalist,95109,67871.33,31.7,3.56
323,industrial,95140,58851.12,31.62,3.4
324,minimalist,95104,62186.35,56.33,1.33
325,modern,95134,39474.57,83.11,2.44
326,industrial,95136,50514.23,16.47,4.4
327,vintage,95131,75569.29,78.48,3.94
328,art gallery,95102,45853.65,51.48,2.44
329,minimalist,95125,37177.35,98.8,2.57
330,industrial,95118,30663.47,90.25,3.36
331,vintage,95101,64434.81,32.06,0.75
332,industrial,95106,54098.55,84.86,1.49
333,art gallery,95106,52678.84,65.56,0.16
334,romantic,95126,53593.46,86.1,2.96
335,art gallery,95104,32015.37,15.56,2.94
336,romantic,95118,73816.05,34.27,4.01
337,vintage,95106,75707.14,6.07,3.15
338,minimalist,95127,32658.42,26.91,3.94
339,industrial,95113,37842.63,5.27,2.43
340,modern,95108,41085.54,88.71,2.21
341,minimalist,95118,46704.87,54.18,3.97
342,art gallery,95124,77995.74,36.79,3.85
343,vintage,95118,54725.5,76.97,0.51
344,industrial,95116,36679.03,90.78,2.94
345,modern,95128,52917.46,10.76,0.39
346,minimalist,95125,70912.37,72.67,3.76
347,industrial,95118,50466.92,77.27,2.22
348,romantic,95126,50969.62,36.26,2.11
349,minimalist,95113,73385.77,30.46,1.27
350,art gallery,95109,32148.29,44.59,4.96
351,art gallery,95102,38518.69,65.19,1.8
352,vintage,95102,44743.38,18.85,4.29
353,minimalist,95122,67666.16,10.88,1.35
354,modern,95132,47631.92,49.84,1.79
355,romantic,95148,74611.71,24.64,2.06
356,vintage,95104,52487.21,67.36,2.7
357,romantic,95136,50910.55,10.94,0.31
358,romantic,95133,72523.71,64.14,2.41
359,industrial,95120,77451.97,18.01,1.7
360,industrial,95106,59368.23,61.35,2.93
361,industrial,95129,63039.64,95.15,4.64
362,modern,95110,35358.06,36.69,4.07
363,romantic,95102,62043.07,79.78,0.24
364,art gallery,95128,78011.14,21.57,0.92
365,industrial,95126,53726.89,73.33,1.39
366,industrial,95132,77696.94,28.63,2.92
367,romantic,95104,70797.14,31.82,1.59
368,romantic,95135,58389.04,27.97,4.14
369,vintage,95123,31059.14,66.18,1.31
370,romantic,95126,76829.83,88.67,1.01
371,vintage,95116,63705.18,65.92,0.66
372,romantic,95129,30423.93,79.84,4.84
373,modern,95133,35094.51,35.7,4.35
374,vintage,95107,61749.43,94.74,2.9
375,art gallery,95134,76691.61,63.12,3.18
376,minimalist,95103,39806.52,3.01,2.9
377,industrial,95125,43417.96,0.15,3.82
378,romantic,95133,66566.09,48.17,3.42
379,industrial,95109,75432.98,34.84,1.28
380,vintage,95107,63632.92,27.79,3.62
381,industrial,95124,54401.21,40.09,1.89
382,industrial,95129,77485.99,68.55,3.72
383,industrial,95128,56721.38,72.41,2.21
384,minimalist,95102,39888.62,59.55,2.01
385,romantic,95119,63640.03,69.55,3.85
386,minimalist,95117,73900.23,68.64,1.06
387,vintage,95120,44122.6,91.79,2.85
388,art gallery,95127,38649.84,33.88,0.63
389,minimalist,95122,66767.59,80.77,3.41
390,romantic,95105,41443.43,58.35,2.52
391,minimalist,95119,59482.3,6.64,4.35
392,art gallery,95127,39186.47,8.74,4.32
393,modern,95111,33787.66,52.97,2.22
394,art gallery,95119,53547.21,39.77,4.38
395,art gallery,95125,36921.43,35.82,0.13
396,art gallery,95138,42375.82,76.68,4.1
397,industrial,95116,78467.87,75.78,3.73
398,modern,95132,66597.93,23.71,3.78
399,minimalist,95123,73564.46,98.98,1.46
400,minimalist,95105,60944.34,80.91,4.3
401,art gallery,95120,71419.75,52.29,2.12
402,modern,95126,48549.21,34.07,4.15
403,modern,95134,59969.67,27.61,1.41
404,romantic,95104,56817.2,11.7,4.95
405,modern,95128,72939.81,66.61,2.55
406,industrial,95103,73054.95,20.42,1.52
407,industrial,95123,68737.06,31.28,3.18
408,vintage,95125,75375.32,38.02,1.71
409,romantic,95126,37089.65,84.77,1.1
410,modern,95113,77644.32,7.43,3.55
411,art gallery,95138,65960.17,29.29,3.54
412,minimalist,95105,47608.48,0.65,0.09
413,modern,95111,37895.78,34.38,2.66
414,vintage,95103,68935.2,40.26,2.04
415,vintage,95139,35737.85,89.51,1.52
416,modern,95140,63868.73,9.02,2.99
417,minimalist,95134,45981.65,25.66,0.99
418,industrial,95128,43587.09,53.26,3.78
419,art gallery,95131,66676.96,56.09,1.13
420,art gallery,95124,34472.21,64.18,1.62
421,modern,95112,74339.31,66.78,4.6
422,minimalist,95104,43256.74,58.71,3.01
423,art gallery,95101,64670.46,93.59,4.85
424,vintage,95101,32880.96,73.13,0.38
425,romantic,95111,37221.81,22.66,4.66
426,art gallery,95131,75080.4,72.99,3.5
427,industrial,95131,62423.14,54.55,1.34
428,modern,95134,75724.8,46.11,1.13
429,industrial,95139,73483.1,60.77,3.24
430,romantic,95140,76917.57,30.73,1.21
431,vintage,95116,48603.26,65.5,3.88
432,modern,95104,69084.59,87.27,3.22
433,romantic,95113,42965.79,57.6,0.6
434,minimalist,95131,71897.91,41.84,1.62
435,industrial,95126,78433.07,4.73,4.19
436,romantic,95109,57084.93,3.52,2.02
437,modern,95136,63805.29,20.1,1.56
438,art gallery,95122,74896.26,64.98,4.93
439,vintage,95108,38063.02,11.01,3.23
440,vintage,95136,67891.48,87.67,2.84
441,vintage,95102,59999.26,31.16,4.56
442,minimalist,95120,72937.59,93.41,4.59
443,art gallery,95111,48511.37,88.92,3.52
444,art gallery,95134,39170.52,52.96,4.33
445,industrial,95116,67094.18,37.42,4.24
446,vintage,95121,50335.75,63.76,0.86
447,modern,95125,36559.68,31.5,0.44
448,modern,95111,44096.91,45.44,3.09
449,art gallery,95109,73093.68,68.83,4.56
450,modern,95136,76943.24,18.21,1.75
451,romantic,95101,61518.9,65.77,3.09
452,romantic,95106,76919.18,5.07,1.49
453,modern,95140,38965.26,22.65,2.21
454,minimalist,95106,72320.22,76.47,0.46
455,minimalist,95112,72848.27,74.31,4.52
456,industrial,95107,58044.93,80.51,0.97
457,art gallery,95122,37882.74,6.55,0.64
458,modern,95136,54330.63,93.74,2.74
459,art gallery,95110,45454.34,63.7,3.62
460,industrial,95133,52905.57,9.71,4.85
461,industrial,95117,72843.16,85.59,1.06
462,vintage,95105,51880.74,47.53,0.03
463,romantic,95136,41146.35,59.18,0.97
464,art gallery,95121,32394.71,43.11,3.8
465,modern,95140,37104.3,81.94,0.84
466,vintage,95108,75090.76,43.04,3.1
467,art gallery,95117,32654.44,58.2,1.35
468,art gallery,95108,52807.43,9.57,4.77
469,industrial,95122,71842.25,45.95,4.61
470,art gallery,95105,30709.61,17.3,3.53
471,minimalist,95139,33372.11,81.78,2.73
472,modern,95113,62992.03,57.73,3.33
473,romantic,95134,71561.39,37.37,4.17
474,industrial,95105,55565.52,69.28,1.67
475,industrial,95108,77225.96,22.07,1.71
476,art gallery,95123,71060.26,85.01,3.5
477,romantic,95148,43940.55,59.37,2.86
478,vintage,95123,56299.92,44.3,0.69
479,romantic,95102,77680.61,71.49,2.43
480,industrial,95113,39245.37,87.11,2.52
481,industrial,95110,66428.04,85.94,0.56
482,art gallery,95136,76456.21,69.21,2.45
483,vintage,95132,31854.92,47.24,1.6
484,romantic,95122,52267.47,65.75,4.28
485,vintage,95125,54144.76,24.01,4.36
486,art gallery,95128,69285.13,77.67,3.34
487,modern,95105,66310.26,66.17,2.89
488,vintage,95140,44348.0,71.04,2.37
489,romantic,95129,38778.55,88.13,4.9
490,vintage,95116,31457.38,49.04,2.07
491,romantic,95121,74745.09,60.67,2.5
492,minimalist,95118,78683.16,21.47,1.62
493,vintage,95116,61891.82,46.73,1.41
494,minimalist,95140,68569.35,2.85,3.25
495,romantic,95136,65397.24,20.07,2.82
496,art gallery,95136,62108.37,25.7,3.43
497,modern,95123,34347.16,38.36,1.2
498,romantic,95122,36215.56,22.15,1.52
499,art gallery,95132,43226.49,11.25,4.62
500,modern,95116,67241.13,88.14,4.7
501,industrial,95125,64544.4,25.56,1.45
502,art gallery,95126,40450.81,81.11,2.53
503,minimalist,95135,58058.12,3.49,4.13
504,romantic,95103,48914.45,12.69,2.46
505,vintage,95116,41615.63,38.32,3.11
506,art gallery,95122,69565.68,24.21,0.53
507,minimalist,95121,68479.19,83.87,3.21
508,industrial,95103,41709.13,17.11,1.36
509,modern,95111,51291.34,78.18,4.11
510,industrial,95127,69734.24,15.92,1.97
511,romantic,95131,62076.84,17.45,2.02
512,modern,95105,49144.02,3.68,3.8
513,industrial,95132,56583.16,36.75,3.96
514,art gallery,95128,73981.88,51.4,1.21
515,art gallery,95102,76528.15,44.7,2.47
516,modern,95106,74212.07,86.27,0.41
517,industrial,95105,39739.3,90.83,2.48
518,minimalist,95112,64360.64,61.13,3.19
519,industrial,95128,79841.08,14.29,2.46
520,industrial,95105,62829.56,24.71,4.24
521,modern,95117,56121.69,95.79,4.54
522,modern,95103,37518.81,19.03,2.37
523,romantic,95106,60267.19,34.77,4.78
524,vintage,95105,71176.94,10.98,4.35
525,industrial,95134,32320.01,49.99,0.62
526,art gallery,95101,49854.8,27.48,2.88
527,romantic,95140,43593.83,77.02,0.69
528,minimalist,95132,41396.26,1.91,4.77
529,industrial,95109,73538.78,46.07,0.5
530,art gallery,95113,48145.39,26.2,2.7
531,modern,95138,33404.47,24.1,1.34
532,modern,95124,66506.35,37.92,3.48
533,minimalist,95104,53867.31,93.76,4.99
534,modern,95135,46077.15,70.2,2.57
535,romantic,95110,59460.05,82.8,1.9
536,modern,95127,49549.13,81.83,4.72
537,romantic,95116,52073.09,49.06,4.9
538,modern,95126,62465.9,4.93,0.58
539,vintage,95101,69188.8,27.96,3.3
540,vintage,95132,70792.8,1.13,2.7
541,romantic,95132,48769.73,87.79,2.51
542,art gallery,95128,68899.72,13.42,2.21
543,vintage,95135,55324.85,51.33,0.98
544,art gallery,95111,65229.3,5.28,4.82
545,industrial,95109,76193.71,11.62,4.24
546,romantic,95111,72576.59,21.63,3.93
547,industrial,95131,46009.24,85.45,1.3
548,industrial,95123,68710.85,62.31,1.98
549,modern,95119,44165.3,65.68,3.46
550,industrial,95127,44831.33,23.0,1.14
551,minimalist,95128,71733.93,82.68,2.18
552,industrial,95123,44992.28,9.51,4.81
553,romantic,95128,72896.12,35.77,4.4
554,industrial,95136,56305.57,33.78,4.28
555,modern,95133,67271.42,65.77,0.91
556,vintage,95129,32989.91,50.62,1.04
557,vintage,95129,70557.81,35.12,2.55
558,modern,95140,55321.23,54.41,3.43
559,modern,95111,31067.63,42.01,0.44
560,minimalist,95121,45635.94,47.54,1.27
561,modern,95110,34927.57,73.96,3.44
562,art gallery,95112,43137.0,56.34,3.45
563,art gallery,95110,73189.47,99.14,1.65
564,modern,95109,77877.21,50.06,1.13
565,industrial,95117,52727.33,48.89,4.04
566,vintage,95105,42150.24,76.82,1.48
567,romantic,95107,62278.98,95.67,1.48
568,vintage,95102,76433.77,18.81,3.36
569,romantic,95135,71204.05,87.33,1.84
570,art gallery,95104,76441.2,81.87,4.58
571,art gallery,95101,62845.2,20.23,3.86
572,modern,95120,36326.3,39.16,1.64
573,minimalist,95148,61902.59,52.76,0.28
574,romantic,95138,70056.83,21.21,0.62
575,minimalist,95123,38260.27,44.26,1.8
576,industrial,95116,78467.83,51.54,3.25
577,industrial,95113,59205.56,23.24,1.18
578,vintage,95108,31893.8,37.13,2.47
579,romantic,95129,37188.0,10.75,1.06
580,modern,95133,77117.36,19.29,2.68
581,industrial,95108,60807.28,78.41,1.15
582,modern,95129,35868.21,20.37,3.94
583,industrial,95139,59767.78,6.29,3.39
584,vintage,95110,61228.4,81.42,2.93
585,romantic,95136,64345.67,43.31,0.45
586,modern,95134,40103.46,77.54,0.86
587,minimalist,95134,71521.66,93.5,1.94
588,industrial,95127,36671.87,59.72,1.61
589,minimalist,95127,42958.52,55.4,0.13
590,industrial,95116,58525.98,51.61,4.22
591,modern,95117,76891.52,59.14,1.65
592,minimalist,95118,45249.3,19.77,2.46
593,art gallery,95128,72337.56,2.48,2.58
594,industrial,95132,56789.49,6.84,2.28
595,industrial,95129,39058.59,50.77,4.69
596,modern,95117,44284.73,59.85,4.2
597,vintage,95125,43134.77,35.69,2.14
598,industrial,95136,56266.52,42.27,1.12
599,art gallery,95117,43436.43,38.21,4.31
600,vintage,95133,61528.24,46.05,1.35
601,art gallery,95125,55347.85,20.33,0.13
602,modern,95121,68134.62,15.98,4.56
603,vintage,95126,42961.93,47.73,3.65
604,industrial,95103,36207.64,71.86,0.38
605,industrial,95139,60807.44,47.51,0.73
606,art gallery,95125,53077.61,50.36,3.78
607,romantic,95118,69739.96,43.8,0.02
608,romantic,95103,40106.11,29.91,2.27
609,modern,95110,65944.86,96.16,0.22
610,vintage,95116,39020.98,60.29,0.03
611,modern,95128,75727.17,74.28,1.74
612,modern,95109,38624.95,20.21,4.78
613,romantic,95131,43546.31,60.65,0.3
614,vintage,95116,60188.17,18.06,2.55
615,modern,95117,79646.82,15.89,3.35
616,vintage,95126,70415.98,84.62,4.88
617,modern,95107,54625.17,13.92,1.93
618,vintage,95139,44581.68,72.95,0.39
619,minimalist,95108,78633.05,12.32,1.17
620,romantic,95134,48906.64,12.14,0.31
621,industrial,95112,44364.26,62.43,0.84
622,art gallery,95104,60648.53,39.35,2.19
623,modern,95135,40178.56,87.31,1.04
624,modern,95124,60209.61,44.39,4.15
625,minimalist,95108,40742.07,70.1,0.74
626,modern,95123,75598.48,82.07,3.02
627,modern,95110,31883.84,7.54,4.01
628,minimalist,95108,66224.39,29.99,1.67
